Group,Product,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Alkali Chemicals,Soda Ash,2462002,2583013,2613419,2989570,3048187,3069431,2638117,3078901
Alkali Chemicals,Caustic Soda,2442891,2503955,2594495,2742313,2925352,3136937,2964078,3462771
Alkali Chemicals,Liquid Chlorine,1720099,1714816,1800666,1899412,2069111,2250429,2174264,2499329
Inorganic Chemicals,Aluminium Fluoride,6732,9514,8142,7514,5697,5050,3698,8909
Inorganic Chemicals,Calcium Carbide,87181,83472,85021,87297,83170,81339,86778,98618
Inorganic Chemicals,Carbon Black,444350,469561,535273,530356,546390,500146,384780,456487
Inorganic Chemicals,Potassium Chlorate,447,406,12,347,703,16178,17079,17678
Inorganic Chemicals,Sodium Chlorate,0,0,0,0,0,0,17917,21144
Inorganic Chemicals,Titanium Dioxide,47879,58533,58459,57817,57059,49487,51222,56957
Inorganic Chemicals,Red Phosphorus,885,836,771,881,1029,1030,1066,1146
Inorganic Chemicals,Hydrogen Peroxide,119752,153083,148866,157020,156453,122839,139904,143488
Inorganic Chemicals,Potassium Iodate,0,0,0,0,0,564,542,579
Inorganic Chemicals,Calcium Carbonate,236926,226126,216329,217248,213329,286833,274791,246775
Organic Chemicals,Acetic Acid,159609,157906,158512,157067,153801,167856,154755,166590
Organic Chemicals,Acetic Anhydride,93836,92986,94820,97093,95471,74149,75088,78425
Organic Chemicals,Acetone,25982,24960,26793,32865,40740,36268,39034,36115
Organic Chemicals,Phenol,42264,40424,43569,53448,65394,57850,61272,58156
Organic Chemicals,Methanol,209826,162621,176959,260489,271929,176046,234026,167714
Organic Chemicals,Formaldehyde,255950,242089,244187,248234,226610,260413,244660,293071
Organic Chemicals,Nitrobenzene,69722,68373,69714,71406,68804,61138,76092,82846
Organic Chemicals,Maleic Anhydride,3204,3539,3529,3312,4557,5024,5382,6328
Organic Chemicals,Pentaerythritol,13460,13967,14014,14097,14990,15210,11652,16334
Organic Chemicals,Aniline,34474,39402,41454,41881,37852,25437,33529,39662
Organic Chemicals,Chloro Methanes,220714,220181,221509,222433,285531,296909,326952,340820
Organic Chemicals,Isobutylbenzene,4304,7241,6920,8954,9699,9441,12719,8520
